mini.228_Tal.2	228_Tal.2
mini.314_Zab.1	314_Zab.1
mini.026_Ceg.2	026_Ceg.2
mini.847_Zab.1	847_Zab.1
mini.284_Tal.1	284_Tal.1
mini.142_UR19.1	142_UR19.1
mini.772_Tal.1	772_Tal.1
mini.680_UR19.2	680_UR19.2
mini.029_Zab.2	029_Zab.2
mini.228_Tal.1	228_Tal.1
mini.847_Zab.2	847_Zab.2
mini.284_Tal.2	284_Tal.2
mini.314_Zab.2	314_Zab.2
mini.026_Ceg.1	026_Ceg.1
mini.772_Tal.2	772_Tal.2
mini.142_UR19.2	142_UR19.2
mini.029_Zab.1	029_Zab.1
mini.680_UR19.1	680_UR19.1
mini.769_UR19.1	769_UR19.1
mini.719_Zab.1	719_Zab.1
mini.276_UR19.1	276_UR19.1
mini.814_UR19.2	814_UR19.2
mini.044_Tal.1	044_Tal.1
mini.224_UR19.1	224_UR19.1
mini.763_Zab.2	763_Zab.2
mini.310_Ceg.2	310_Ceg.2
mini.716_Ceg.1	716_Ceg.1
mini.760_Ceg.2	760_Ceg.2
mini.817_Tal.1	817_Tal.1
mini.683_Tal.2	683_Tal.2
mini.120_Ceg.2	120_Ceg.2
mini.850_Ceg.1	850_Ceg.1
mini.125_Zab.1	125_Zab.1
mini.719_Zab.2	719_Zab.2
mini.769_UR19.2	769_UR19.2
mini.224_UR19.2	224_UR19.2
mini.814_UR19.1	814_UR19.1
mini.044_Tal.2	044_Tal.2
mini.276_UR19.2	276_UR19.2
mini.760_Ceg.1	760_Ceg.1
mini.716_Ceg.2	716_Ceg.2
mini.683_Tal.1	683_Tal.1
mini.817_Tal.2	817_Tal.2
mini.310_Ceg.1	310_Ceg.1
mini.763_Zab.1	763_Zab.1
mini.125_Zab.2	125_Zab.2
mini.850_Ceg.2	850_Ceg.2
mini.120_Ceg.1	120_Ceg.1
