probka,zbiornik,pora_roku,rok,region
083_RMl,Robakowski_Mlyn,wiosna,2017,Kaszuby
178_RMl,Robakowski_Mlyn,lato,2017,Kaszuby
340_RMl,Robakowski_Mlyn,jesien,2017,Kaszuby
699_RMl,Robakowski_Mlyn,wiosna,2019,Kaszuby
744_RMl,Robakowski_Mlyn,lato,2019,Kaszuby
833_RMl,Robakowski_Mlyn,jesien,2019,Kaszuby
062_RybD,Rybno,wiosna,2017,Kaszuby
162_RybD,Rybno,lato,2017,Kaszuby
324_RybD,Rybno,jesien,2017,Kaszuby
693_RybD,Rybno,wiosna,2019,Kaszuby
738_RybD,Rybno,lato,2019,Kaszuby
827_RybD,Rybno,jesien,2019,Kaszuby
026_Ceg,Ceglow,wiosna,2017,Mazowsze
120_Ceg,Ceglow,lato,2017,Mazowsze
310_Ceg,Ceglow,jesien,2017,Mazowsze
716_Ceg,Ceglow,wiosna,2019,Mazowsze
760_Ceg,Ceglow,lato,2019,Mazowsze
850_Ceg,Ceglow,jesien,2019,Mazowsze
020_INo,Izdebno_Nowe,wiosna,2017,Mazowsze
110_INo,Izdebno_Nowe,lato,2017,Mazowsze
302_INo,Izdebno_Nowe,jesien,2017,Mazowsze
710_INo,Izdebno_Nowe,wiosna,2019,Mazowsze
754_INo,Izdebno_Nowe,lato,2019,Mazowsze
841_INo,Izdebno_Nowe,jesien,2019,Mazowsze
029_Zab,Zablotnia,wiosna,2017,Mazowsze
125_Zab,Zablotnia,lato,2017,Mazowsze
314_Zab,Zablotnia,jesien,2017,Mazowsze
719_Zab,Zablotnia,wiosna,2019,Mazowsze
763_Zab,Zablotnia,lato,2019,Mazowsze
847_Zab,Zablotnia,jesien,2019,Mazowsze
035_Gra,Grabowek,wiosna,2017,Mazury
232_Gra,Grabowek,lato,2017,Mazury
288_Gra,Grabowek,jesien,2017,Mazury
686_Gra,Grabowek,wiosna,2019,Mazury
775_Gra,Grabowek,lato,2019,Mazury
820_Gra,Grabowek,jesien,2019,Mazury
044_Tal,Talty,wiosna,2017,Mazury
228_Tal,Talty,lato,2017,Mazury
284_Tal,Talty,jesien,2017,Mazury
683_Tal,Talty,wiosna,2019,Mazury
772_Tal,Talty,lato,2019,Mazury
817_Tal,Talty,jesien,2019,Mazury
142_UR19,Urwitalt,lato,2017,Mazury
224_UR19,Urwitalt,jesien,2017,Mazury
276_UR19,Urwitalt,wiosna,2017,Mazury
680_UR19,Urwitalt,wiosna,2019,Mazury
769_UR19,Urwitalt,lato,2019,Mazury
814_UR19,Urwitalt,jesien,2019,Mazury
